index_name,category
NIFTY AUTO,Sectoral Indices
NIFTY BANK,Sectoral Indices
NIFTY CAPITAL GOODS,Sectoral Indices
NIFTY CEMENT,Sectoral Indices
NIFTY CHEMICALS,Sectoral Indices
NIFTY COMMERCIAL & TRANSPORT SERVICES,Sectoral Indices
NIFTY CONSTRUCTION,Sectoral Indices
NIFTY CONSUMER DURABLES,Sectoral Indices
NIFTY CONSUMER SERVICES,Sectoral Indices
NIFTY ENERGY,Sectoral Indices
NIFTY FINANCIAL SERVICES,Sectoral Indices
NIFTY FINANCIAL SERVICES 25/50,Sectoral Indices
NIFTY FINANCIAL SERVICES EX-BANK,Sectoral Indices
NIFTY FMCG,Sectoral Indices
NIFTY HEALTHCARE,Sectoral Indices
NIFTY HOSPITALS,Sectoral Indices
NIFTY HOUSING FINANCE,Sectoral Indices
NIFTY INSURANCE,Sectoral Indices
NIFTY IT,Sectoral Indices
NIFTY MEDIA,Sectoral Indices
NIFTY METAL,Sectoral Indices
NIFTY MIDSMALL FINANCIAL SERVICES,Sectoral Indices
NIFTY MIDSMALL HEALTHCARE,Sectoral Indices
NIFTY MIDSMALL IT & TELECOM,Sectoral Indices
NIFTY NBFC,Sectoral Indices
NIFTY OIL & GAS,Sectoral Indices
NIFTY PHARMA,Sectoral Indices
NIFTY POWER,Sectoral Indices
NIFTY PRIVATE BANK,Sectoral Indices
NIFTY PSU BANK,Sectoral Indices
NIFTY REALTY,Sectoral Indices
NIFTY REITS & REALTY,Sectoral Indices
NIFTY RETAIL,Sectoral Indices
NIFTY TELECOMMUNICATIONS,Sectoral Indices
NIFTY500 HEALTHCARE,Sectoral Indices
